objno_deep2,z_pred
12011416,0.5743891906818472
12023279,0.8369221577994336
13017399,0.9794166582751973
12008131,0.4209640089351368
12003729,0.567564986943279
12003313,1.0889079233266326
11021040,0.6915285266459269
13020559,0.8468999163926167
14029818,0.9526826354510147
13049159,0.7002306069774155
13026194,1.0714384677526705
13028427,0.7196453263712966
13035570,0.670515430231803
13018058,0.3737107868775527
12005533,0.6925485352404127
12027865,1.247352041232863
14028737,0.8717269637977725
13034892,0.7891199711860953
13058802,0.5855434002513005
13034266,0.6903224467186684
12015933,1.305059067417109
13019356,0.9526826354510147
13043664,0.679122857427492
13026703,0.8489256677055736
14034435,0.501379546727113
11045189,0.5152823523058647
12029430,0.3990279108411079
12020460,0.5233472789535566
11051190,0.4999236990665012
12020226,1.2479818451370241
13064313,0.9299007368634713
12029047,1.05613657082422
13064464,0.6285903462597644
14024652,0.9600631406676334
14012814,1.04265740554199
14021539,1.04265740554199
13058710,0.4399666995064747
11027452,0.8509310274763395
13026761,0.7937771593450119
13055360,0.8300583144108968
12024872,0.959627092826235
12021021,1.0889247691939437
11051962,0.3221220037574172
12027965,0.5613748003995436
13051672,0.24016098763420582
11032750,0.4432140434500513
13055272,0.6996656232937731
11101473,1.04265740554199
11006363,0.776423582568474
11034334,0.9396456747400022
11033434,0.4343225672562955
14028987,0.6515871783959991
12004729,1.018614003527617
14018493,0.5628061635302261
13020183,0.8808885203484862
13010247,1.084938736127322
13003917,0.9526826354510147
12012294,1.3854838716036235
11051724,0.31183307492799117
13032491,0.3612840514289805
12101115,1.356977001271417
12028825,1.012887321716346
11040256,1.3251022131738934
14034601,1.0229355869686259
14023103,0.562697645849789
11015202,0.5007294112265803
14011252,0.5508475501969218
12028457,0.5099320306490285
12007663,1.111845885162534
14028119,1.2138158250860385
14007176,0.4626459786382992
12025109,0.9693795915932758
14028452,0.6462911360720007
11013937,0.6662161356116185
12017074,0.7014017636459454
14016678,1.0648731164965788
14033288,0.5326401836713591
12029045,0.5973823573790503
13026732,1.2422697029748508
13027026,1.0514600895734614
13025375,0.8074112559167567
13012069,0.5343121032566744
12007621,0.7135194849862984
12016619,0.7872098293742341
12007683,1.0552840303920796
11045638,1.0836864715209773
13005509,0.3733380529237128
13032755,0.9481511640757685
12003637,1.0553724504036637
12028626,0.3430173273991513
12032544,0.28766633277163134
14017935,0.6581383399528384
13040732,0.40179921241270267
11044620,0.3903146558756653
13034445,1.2162525125273576
13035996,1.1234423608872706
11051648,0.7842985453569423
11046508,0.418792310945323
12024336,1.4480191484221274
13051230,0.37168403302885605
12009171,1.277992991223779
12032532,0.757808374141345
11007823,0.43267949297119207
14011560,0.9653119513192692
13019862,0.3729325356378791
13026080,0.8447329844209891
13035330,0.3291977451763068
12029226,0.938196668185431
12012494,0.5216047354164586
14018277,0.4374460386156671
13040940,1.183398252169965
13034137,0.9380814654970682
12023760,0.37360225889353715
12028365,0.42110673595308684
11033809,0.9520865532786721
